,artist,artist_pop,artist_id,song,song_pop,song_duration_ms,song_id
122,La Manta,51,3omyT5zHz9QmE63xEk10OV,Siga Boyando,47,250510,3pfmXyxD0SzpVVMjK57x1r
123,La Manta,51,3omyT5zHz9QmE63xEk10OV,Yo Lo Cojo,39,188893,15f7OgSGn8g36CHvQSToza
124,La Manta,51,3omyT5zHz9QmE63xEk10OV,Careta,33,216999,2lBcOUfEHhXgGfySoP9yMo
125,La Manta,51,3omyT5zHz9QmE63xEk10OV,La Merca,33,152502,7jACVdsThGi8kuQYmgQd0q
126,La Manta,51,3omyT5zHz9QmE63xEk10OV,El Sofoke (Remix),33,203692,5iOZWIifn61GYHTRQ6j9CP
127,La Manta,51,3omyT5zHz9QmE63xEk10OV,Babality,32,201717,70Zajj2ufgawvNqDCy3BGP
128,La Manta,51,3omyT5zHz9QmE63xEk10OV,Los Mismos Tenis,31,213916,6MEaXOyNOzLYDk4s0wmVKu
129,La Manta,51,3omyT5zHz9QmE63xEk10OV,Chilling,31,141124,1ZFRLTfWMgtfa9suxR79dp
130,Black Jonas Point,47,5ImkeVBlU11axX5QwOWg12,Asi Te Quiero,42,201560,0UyOxy7uZEL3uvIKSVOp44
131,Black Jonas Point,47,5ImkeVBlU11axX5QwOWg12,No Es Lo Mismo - Remix,33,252969,390mMX0DdFOaN6eeH7HwBN
132,Black Jonas Point,47,5ImkeVBlU11axX5QwOWg12,Lo Que Quieras,37,196545,0cm86dyk6N77qzW4zGbMe1
133,Black Jonas Point,47,5ImkeVBlU11axX5QwOWg12,Todo Tiene Final,36,221331,6shRLJtMmwEdLGrCHW250H
134,Black Jonas Point,47,5ImkeVBlU11axX5QwOWg12,Mas Que Amor,34,205347,4N1SUJE2vp2gkmG9xHbaHM
135,Black Jonas Point,47,5ImkeVBlU11axX5QwOWg12,El Pito - Internacional Remix,34,195500,2UTizhOevUUIci91XcLBJA
136,Black Jonas Point,47,5ImkeVBlU11axX5QwOWg12,Click Clock,33,171441,3hDD5EhhH9bxXEEuwsyQT8
137,Black Jonas Point,47,5ImkeVBlU11axX5QwOWg12,Culeteo,32,171773,0nGzFcjJjClWr3y4fcWVJI
138,Black Jonas Point,47,5ImkeVBlU11axX5QwOWg12,El Tirador,31,174730,0tmfuktHn1lnzydE8T5HWA
139,Black Jonas Point,47,5ImkeVBlU11axX5QwOWg12,Solo Grita,30,182125,4Lb8Si1K9zsOfF2xmiJhbO
140,Mark B.,64,0zZJhc1T0zBurhnBwQ2fcu,Me Llueven,61,165994,2Iv7PCElmi1dZfzHWzMczA
