,artist,artist_pop,artist_id,song,song_pop,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
44,Vakero,42,5rlwbF5flU2JCmAzV5Obu0,Capea El Dough 2k17,33,3SOY1DKorxsNPreFiuPwZ1,0.769,0.86,0,-3.341,1,0.375,0.345,0.0,0.65,0.833,98.044,370338,4
45,Vakero,42,5rlwbF5flU2JCmAzV5Obu0,Los Zapatos,29,2QebSAWmxv8gw0BvOqQPFv,0.659,0.87,5,-3.937,0,0.0287,0.0313,0.0,0.109,0.619,145.95600000000002,187427,4
46,Vakero,42,5rlwbF5flU2JCmAzV5Obu0,Que Mujer Tan Chula,29,0JNO59NigOfHWQQAClzAEs,0.767,0.7020000000000001,11,-5.3629999999999995,0,0.0372,0.0165,0.0,0.0616,0.983,115.962,210963,4
47,Vakero,42,5rlwbF5flU2JCmAzV5Obu0,Se Partio el Lapiz,28,1VAJTs96cC8332LtN3i5vA,0.6779999999999999,0.872,7,-4.908,1,0.264,0.0378,0.0,0.145,0.9520000000000001,95.061,259533,4
48,Vakero,42,5rlwbF5flU2JCmAzV5Obu0,Una Vaina Loca (Remix),26,1r1JsyDxWgMo9jE3dJcirm,0.805,0.848,1,-5.849,1,0.0474,0.0342,2.43e-06,0.316,0.584,117.01,294827,4
49,Vakero,42,5rlwbF5flU2JCmAzV5Obu0,Demasiado,26,3Rych4r0vBVbsqkR2kkKEi,0.7240000000000001,0.912,4,-2.6639999999999997,0,0.0432,0.19,0.000281,0.312,0.955,127.969,229320,4
50,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,La Chapa Que Vibran - Remix,52,6fmVrh7XQ0KD69AOufNMUL,0.8690000000000001,0.805,1,-6.757000000000001,1,0.11599999999999999,0.00496,0.0,0.0291,0.762,128.08700000000002,203493,4
51,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,La Chapa Que Vibran,45,6cFckWKvl4IrBmRZI995kG,0.665,0.924,1,-2.577,1,0.198,0.319,1.52e-05,0.0938,0.6679999999999999,126.485,215301,4
52,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,Machucando,41,6R8PlLgNFv8WysXspoTmTR,0.887,0.792,6,-1.775,0,0.304,0.163,3.31e-06,0.0787,0.506,90.738,234453,3
53,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,Como Me Lo Hace,41,5nUJPQreW88E30aHM2HHm7,0.6559999999999999,0.716,5,-3.9589999999999996,0,0.495,0.10400000000000001,6.77e-06,0.0824,0.606,185.85,200652,4
54,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,Taka Taka,39,0LlWBlBmg2OOibYOnF9Dm0,0.865,0.914,2,-3.81,1,0.0459,0.26899999999999996,0.000462,0.174,0.706,115.015,152660,4
55,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,Te Lo Compre,36,5lhPjPAJ2eETbkSBziCRWs,0.816,0.917,8,-3.28,0,0.0503,0.0567,5.539999999999999e-05,0.885,0.9640000000000001,122.01700000000001,200725,4
56,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,Click Clock,33,3hDD5EhhH9bxXEEuwsyQT8,0.86,0.8009999999999999,7,-4.758,1,0.183,0.0189,0.0109,0.344,0.45399999999999996,109.039,171442,4
57,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,Nunca Maniqui,29,0PHsVUWTCuSy3t8r4sm4OV,0.8390000000000001,0.77,3,-3.696,0,0.107,0.262,2.4100000000000003e-05,0.355,0.44,135.023,225816,4
58,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,Dominicana,29,07BugovfF5V3Bd2nsDxmVa,0.851,0.718,0,-6.74,0,0.225,0.193,0.00112,0.0713,0.642,104.921,172385,4
59,La Materialista,46,4FMqE1IWlhufYw1x2zlKG6,Tu Quiere Chapiame - Tuquierechapiame,25,5Uks6VIHmWLNoamsvD9Fuh,0.9359999999999999,0.701,5,-8.945,0,0.114,0.0309,8.73e-06,0.344,0.963,119.905,152526,4
60,Musicologo The Libro,56,0lIw3RIPiAC50dWNjJXe2Q,En Filita Cooperando - Remix,58,5hG3xtRax4lX4gUTbK1UkP,0.6559999999999999,0.9390000000000001,10,-0.762,0,0.253,0.444,0.0481,0.0469,0.912,122.385,251613,4
61,Musicologo The Libro,56,0lIw3RIPiAC50dWNjJXe2Q,Limonada Coco - Remix,53,69I3KzUSur7pT3p8z7jhk5,0.894,0.723,11,-5.61,0,0.0917,0.24600000000000002,0.00475,0.15,0.48700000000000004,116.00299999999999,216816,4
62,Musicologo The Libro,56,0lIw3RIPiAC50dWNjJXe2Q,Flow Pesao - Remix,52,2ecaPx5QDfsxGUThU6rHUZ,0.679,0.838,7,-3.616,1,0.23600000000000002,0.441,0.0032,0.139,0.649,115.029,275391,4
63,Musicologo The Libro,56,0lIw3RIPiAC50dWNjJXe2Q,Bum Bam Ven - Remix,52,41ezMG36bvrbJaJpvlbDFf,0.9129999999999999,0.86,1,-1.383,1,0.131,0.25,0.000226,0.261,0.736,120.022,230000,4
64,Musicologo The Libro,56,0lIw3RIPiAC50dWNjJXe2Q,En Filita Cooperando,47,39BWAAsvNEM87UsDsL1DM5,0.5589999999999999,0.895,10,-2.26,0,0.43700000000000006,0.35600000000000004,0.0864,0.375,0.914,185.805,164516,3
65,Musicologo The Libro,56,0lIw3RIPiAC50dWNjJXe2Q,De Naranja,47,3C7ErK9zTcj1rpXhyH4eBG,0.691,0.871,1,-3.055,1,0.19899999999999998,0.105,0.057,0.273,0.804,230.0,229565,4
66,Musicologo The Libro,56,0lIw3RIPiAC50dWNjJXe2Q,No Lo Vendo - Remix,44,5ldrlXHvzAb1oBgbQJa4bk,0.8009999999999999,0.785,6,-3.895,1,0.34299999999999997,0.267,0.0,0.0647,0.902,97.82799999999999,279184,4
67,Musicologo The Libro,56,0lIw3RIPiAC50dWNjJXe2Q,Bum Bam Ven,44,5XqekpV3dsMMTPl4YQGtpo,0.9079999999999999,0.907,1,-0.763,1,0.151,0.245,0.000354,0.24,0.8,120.042,196141,4
68,Musicologo The Libro,56,0lIw3RIPiAC50dWNjJXe2Q,Fufu Papa,44,3m7vxaQ2h9z94Rq4OjVift,0.8690000000000001,0.919,8,-2.417,1,0.223,0.221,0.000354,0.22,0.5489999999999999,123.99700000000001,212903,4
69,Musicologo The Libro,56,0lIw3RIPiAC50dWNjJXe2Q,Pasate - Remix,44,3X07aZDNVHZAqRevgAJtdd,0.895,0.904,1,-4.548,1,0.07400000000000001,0.0429,0.00011200000000000001,0.662,0.7020000000000001,121.006,193394,4
70,Shadow Blow,61,53cVnpkm8dTmf20tssYSNF,En Filita Cooperando - Remix,58,5hG3xtRax4lX4gUTbK1UkP,0.6559999999999999,0.9390000000000001,10,-0.762,0,0.253,0.444,0.0481,0.0469,0.912,122.385,251613,4
71,Shadow Blow,61,53cVnpkm8dTmf20tssYSNF,Mi Bebé,54,0HpiLpKXNfkWW47IIcQIEx,0.8109999999999999,0.634,8,-8.566,1,0.0839,0.0648,3.14e-06,0.0598,0.599,96.929,223000,4
72,Shadow Blow,61,53cVnpkm8dTmf20tssYSNF,Influencer,50,3R8amwNn7AXd6czI6fUb8W,0.736,0.644,5,-8.681000000000001,1,0.201,0.578,0.0,0.153,0.449,90.01100000000001,194813,4
73,Shadow Blow,61,53cVnpkm8dTmf20tssYSNF,Soporto,50,4DmfmjQziKh2Af22X6ZJkP,0.8540000000000001,0.785,0,-5.974,1,0.0634,0.415,3.53e-05,0.265,0.912,95.948,136000,4
74,Shadow Blow,61,53cVnpkm8dTmf20tssYSNF,Pa' Que Sufran,49,7B0eMeHAMbxbCTamE5us8J,0.716,0.632,7,-7.595,1,0.188,0.281,0.0,0.0617,0.758,192.12400000000002,199000,4
75,Shadow Blow,61,53cVnpkm8dTmf20tssYSNF,La Mejor Noche,48,2cwUACZn05NitDxsFnNSfB,0.635,0.733,8,-4.53,1,0.11699999999999999,0.0974,0.00105,0.0944,0.857,195.85,207895,4
76,Shadow Blow,61,53cVnpkm8dTmf20tssYSNF,Mensaje Directo (DM),47,7oJzEtK0F1FT0cFIPNOPY6,0.615,0.6679999999999999,7,-9.129,1,0.33299999999999996,0.626,0.0,0.6679999999999999,0.522,74.608,220707,1
77,Shadow Blow,61,53cVnpkm8dTmf20tssYSNF,Que Me Diran,47,7u7wa5ElLqFlunGtvUniJv,0.885,0.769,1,-3.04,1,0.0795,0.0482,0.000196,0.607,0.76,109.965,185212,4
78,Shadow Blow,61,53cVnpkm8dTmf20tssYSNF,Foke To 3,47,24FgZSdBaQXXpN0VuYSTDc,0.6609999999999999,0.735,9,-8.369,1,0.293,0.11699999999999999,0.0,0.19,0.779,92.10700000000001,162500,4
